text,15809,24448,Name of this course is theory of computation and let us spend a little time to understand
text,24449,33370,the scope of this course. Now we have the word computation in the title and it is saying
text,33370,42349,that ever course is what the theory of this entity called computation. Now when we talk
text,42350,51330,of computation today clearly what we understand as computation is that you write some programs
text,51330,59750,and you run the programs and computers and then in that way you carry out a computation.
text,59750,68490,So fundamental activity behind computation or the way computation is carried out by executing
text,68490,75710,programs so what are programs Let me let me write this term which we are all familiar
text,75710,90380,with programs and anyway we can see that our theory is about programs right. There can be
text,90380,99199,various theories I need to now say clearly specifically what we mean by our theory that
text,99200,100310,we will discuss here.
text,100310,109740,But again if we think of the word program we know there is something fundamental behind
text,109740,119548,this term even more fundamental because after all a program is nothing but nothing but an
text,119549,134620,algorithm expressed in a programming language. So we can say programs expressed algorithms
text,134620,149400,and you see already we are making an abstraction in this that we are saying that programs express
text,149400,158970,algorithms so more fundamental notion then programs is the notion of an algorithm.
text,158970,166780,So going back again what we can see that our theory is about theory of algorithms right.
text,166780,173790,Theory of computation theory of programs theory of algorithms all more or less denote the
text,173790,185920,same thing in our context. What are algorithms? For We all know that but let us let us let
text,185920,197720,us annunciate clearly we know that algorithm what it does is it computes or it gives us
text,197720,202930,a recipe for computing and input output transformation.
text,202930,238520,So let us again write this an algorithm is a recipe for carrying out input to output
text,238520,254689,transformation this seems obvious enough that when I have a program it is executing an algorithm
text,254689,263190,and what is that algorithm? That algorithm is an finite effective stepbystep process
text,263190,270410,or description of a process which we are calling a recipe more familiar term for carrying out
text,270410,275950,transformation of the given input to an output
text,275950,287280,Another way of saying this would be that an algorithm tells us how to how to compute a
text,287280,295119,function. So you see if I write like this recipe for carrying out input to output transformation.
text,295120,309460,So in picture it will be like this is an algorithm and as we know that it tells me for a given
text,309460,326370,input how to get it out but then we can see this as telling me what is the output for
text,326370,328270,let us say the input X.
text,328270,340590,If I call that output if I term that output output for X as f of x then we are we are
text,340590,348039,dealing with an even more fundamental familiar concept is that of a function right So as
text,348039,358389,you know a function f is a mapping from some domain to some range and in this case the
